long;str;str
41669;Increased Fire Resist 10;#NAVN?
41670;Increased Critical 14;Increases your critical strike rating by $s1.
41671;Increased Defense;Increases defense rating by $s1.
41672;Attack Power 10;Increases attack power by $s1.
41673;Increased All Resist 15;#NAVN?
41674;Increased Parry 20;Increases your parry rating by $s1.
41675;Increased Mana Regen;Restores $s1 mana per 5 sec.
41676;Increased Critical Spell;Increases your critical strike rating by $s1.
41677;Increased All Resist 04;#NAVN?
41678;Increased Hit Rating 20;Increases your hit rating by $s1.
41679;Increased Hit Rating 20;Increases your hit rating by $s1.
41680;Increased All Resist 15;#NAVN?
41681;Increased Defense;Increases defense rating by $s1.
41683;Increased Hit Rating 10;Increases your hit rating by $s1.
41684;Undead Slayer 15;Increases attack power by $s1 when fighting Undead.
41685;Increased Shadow Resist 05;#NAVN?
41686;Increased Armor 10;#NAVN?
41687;Increase Spell Dam 23;Increases spell power by $s1.
41688;Increased Stamina 20;#NAVN?
41689;Attack Power 40;Increases attack power by $s1.
41690;Increased Parry 20;Increases your parry rating by $s1.
41691;Increased Stamina 20;#NAVN?
41692;Increased Stamina 15;#NAVN?
41693;Attack Power 40;Increases attack power by $s1.
41694;Increased Stamina 20;#NAVN?
41695;Attack Power 40;Increases attack power by $s1.
41696;Increased Stamina 20;#NAVN?
41697;Increase Spell Dam 23;Increases spell power by $s1.
41698;Increased Agility 20;#NAVN?
41699;Increased Stamina 20;#NAVN?
41700;Increased Stamina 15;#NAVN?
41701;Increased Parry 20;Increases your parry rating by $s1.
41702;Increased Stamina 15;#NAVN?
41703;Increase Spell Dam 23;Increases spell power by $s1.
41704;Increased Stamina 20;#NAVN?
41705;Increase Spell Dam 23 - Magister;Increases spell power by $s1.
41706;Increased Stamina 20;#NAVN?
41707;Attack Power 40;Increases attack power by $s1.
41708;Increased Stamina 15;#NAVN?
41709;Increase Spell Dam 23;Increases spell power by $s1.
41710;Increased Stamina 15;#NAVN?
41711;Attack Power 40;Increases attack power by $s1.
41712;Increased Stamina 20;#NAVN?
41713;Attack Power 40;Increases attack power by $s1.
41714;Increased Stamina 15;#NAVN?
41715;Increase Spell Dam 23;Increases spell power by $s1.
41716;Increased Stamina 15;#NAVN?
41717;Increased Parry 20;Increases your parry rating by $s1.
41718;Increase Healing 22;Increases spell power by $s1.
41719;Attack Power 50;Increases attack power by $s1.
41720;Increased Armor 200;#NAVN?
41721;Increased All Resist 08;#NAVN?
41722;Attack Power 40;Increases attack power by $s1.
41723;Increased Parry 20;Increases your parry rating by $s1.
41724;Increased All Resist 15;#NAVN?
41725;Increased Armor 50;#NAVN?
41726;Increased Defense;Increases defense rating by $s1.
41727;Increased Armor 200;#NAVN?
41728;Increased All Resist 08;#NAVN?
41729;Increase Spell Dam 23;Increases spell power by $s1.
41730;Expertise Rating;Increases expertise rating by $s1.
41731;Increased Armor 10;#NAVN?
41732;Increased Arcane Resist 05;#NAVN?
41733;Attack Power 10;Increases attack power by $s1.
41734;Increase Spell Dam 12;Increases spell power by $s1.
41736;Increase Spell Dam 23 - Dreadmist;Increases spell power by $s1.
41737;Increased All Resist 08;#NAVN?
41738;Increased Armor 200 Dreadmist;#NAVN?
41739;Expertise Rating;Increases expertise rating by $s1.
41740;Increase Nature Dam 7;Increases nature spell power by $s1.
41741;Increased Intellect 10;#NAVN?
41742;Increased Parry 20;Increases your parry rating by $s1.
41743;Increased Strength 25;#NAVN?
41744;Increased Strength 20;#NAVN?
41745;Increased Armor 150;#NAVN?
41746;Increased Dodge 20;Increases your dodge rating by $s1.
41747;Increased Stamina 20;#NAVN?
41748;Increased Critical 15;Increases your critical strike rating by $s1.
41749;Increased Hit Rating 20;Increases your hit rating by $s1.
41750;Increased Armor 200;#NAVN?
41751;Increased All Resist 08;#NAVN?
41752;Increase Spell Dam 15;Increases spell power by $s1.
41753;Increase Spell Dam 23;Increases spell power by $s1.
41754;Increased Stamina 20;#NAVN?
41755;Attack Power 40;Increases attack power by $s1.
41756;Increased Stamina 20;#NAVN?
41757;Increased Stamina 20;#NAVN?
41758;Increased Agility 20;#NAVN?
41759;Increased Stamina 20;#NAVN?
41760;Increase Spell Dam 23;Increases spell power by $s1.
41761;Increased Stamina 20;#NAVN?
41762;Increase Spell Dam 23;Increases spell power by $s1.
41763;Attack Power 40;Increases attack power by $s1.
41764;Increased Stamina 20;#NAVN?
41765;Increased Stamina 20;#NAVN?
41766;Increase Spell Dam 23;Increases spell power by $s1.
41767;Increased Stamina 20;#NAVN?
41768;Attack Power 40;Increases attack power by $s1.
41769;Increased Parry 20;Increases your parry rating by $s1.
41770;Increased Mana Regen;Restores $s1 mana per 5 sec.
41771;Increased Intellect 20;#NAVN?
41772;Increased Critical 14;Increases your critical strike rating by $s1.
41773;Increased Armor 150;#NAVN?
41774;Increased Defense;Increases defense rating by $s1.
41775;Increased Mana Regen;Restores $s1 mana per 5 sec.
41776;Increased Mana Regen;Restores $s1 mana per 5 sec.
41777;Increase Spell Dam 12;Increases spell power by $s1.
41778;Increased Stamina 18;#NAVN?
41779;Increased Armor 100;#NAVN?
41780;Increase Spell Dam 20;Increases spell power by $s1.
41781;Increased Armor 200;#NAVN?
41782;Increase Spell Dam 47;Increases spell power by $s1.
41783;Increase Healing 55;Increases spell power by $s1.
41784;Increased Critical 14;Increases your critical strike rating by $s1.
41785;Increased Critical Spell;Increases your critical strike rating by $s1.
41786;Increased Stamina 15;#NAVN?
41787;PvP Armor Increased Critical 14;Increases your critical strike rating by $s1.
41788;Increased Stamina 20;#NAVN?
41789;Increase Spell Dam 23;Increases spell power by $s1.
41790;Attack Power 40;Increases attack power by $s1.
41791;Increased Stamina 20;#NAVN?
41792;Increased Stamina 15;#NAVN?
41793;Increased Parry 20;Increases your parry rating by $s1.
41794;Increased Stamina 20;#NAVN?
41795;Increase Spell Dam 23;Increases spell power by $s1.
41796;Attack Power 40;Increases attack power by $s1.
41797;Increased Stamina 20;#NAVN?
41798;Increased Stamina 20;#NAVN?
41799;Increase Spell Dam 23;Increases spell power by $s1.
41800;Increased Agility 20;#NAVN?
41801;Increased Stamina 20;#NAVN?
41802;Increased Stamina 15;#NAVN?
41803;Increased Parry 20;Increases your parry rating by $s1.
41804;Increased Stamina 15;#NAVN?
41805;Increase Spell Dam 23;Increases spell power by $s1.
41806;Increased Stamina 20;#NAVN?
41807;Increase Spell Dam 23;Increases spell power by $s1.
41808;Attack Power 40;Increases attack power by $s1.
41809;Increased Stamina 20;#NAVN?
41810;Increased Stamina 15;#NAVN?
41811;Increase Spell Dam 23;Increases spell power by $s1.
41812;Increased Stamina 15;#NAVN?
41813;Attack Power 40;Increases attack power by $s1.
41814;Increased Stamina 15;#NAVN?
41815;Increase Spell Dam 23;Increases spell power by $s1.
41816;Increased Stamina 15;#NAVN?
41817;Increased Parry 20;Increases your parry rating by $s1.
41818;Attack Power 40 - Lightforge;Increases attack power by $s1.
41819;Increased All Resist 08;#NAVN?
41821;Attack Power 20;Increases attack power by $s1.
41822;Increased All Resist 08;#NAVN?
41823;Attack Power 30;Increases attack power by $s1.
41825;Increase Spell Dam 23;Increases spell power by $s1.
41826;Increased All Resist 15;#NAVN?
41827;Increased Intellect 05;#NAVN?
41828;Increase Spell Dam 23;Increases spell power by $s1.
41829;Increased Critical Spell;Increases your critical strike rating by $s1.
41830;Increase Healing 33;Increases spell power by $s1.
41831;Attack Power 20;Increases attack power by $s1.
41832;Attack Power 40;Increases attack power by $s1.
41833;Increased Critical Spell;Increases your critical strike rating by $s1.
41834;Increase Spell Dam 18;Increases spell power by $s1.
41835;Attack Power 40 - Shadowcraft;Increases attack power by $s1.
41836;Increased All Resist 08;#NAVN?
41838;Increased All Resist 10;#NAVN?
41839;Increased All Resist 08;#NAVN?
41840;Increased Armor 200;#NAVN?
41841;Increased Spell Hit Chance 16;Increases your hit rating by $s1.
41842;Increased Armor 200;#NAVN?
41843;Increased All Resist 08;#NAVN?
41844;Attack Power 40;Increases attack power by $s1.
41845;Attack Power 14;Increases attack power by $s1.
41846;Increased Strength 20;#NAVN?
41847;Increased Defense;Increases defense rating by $s1.
41848;Increased Stamina 05;#NAVN?
41849;Increased Stamina 05;#NAVN?
41850;Increased Critical Spell;Increases your critical strike rating by $s1.
41851;Increased Stamina 05;#NAVN?
41852;Increased Stamina 05;#NAVN?
41853;Increased Stamina 05;#NAVN?
41854;Increased Critical Spell;Increases your critical strike rating by $s1.
41855;Increased Stamina 05;#NAVN?
41856;Increase Spell Dam 23 - Elements;Increases spell power by $s1.
41857;Increased All Resist 08;#NAVN?
41858;Increased Armor 200;#NAVN?
41859;Increased All Resist 08;#NAVN?
41860;Increase Spell Dam 23;Increases spell power by $s1.
41861;Attack Power 10;Increases attack power by $s1.
41862;Increased Critical 14;Increases your critical strike rating by $s1.
41863;Increased Armor 20;#NAVN?
41864;Increased Defense;Increases defense rating by $s1.
41865;Increased Stamina 05;#NAVN?
41866;Increased Stamina 05;#NAVN?
41867;Increased Stamina 05;#NAVN?
41868;Increased Stamina 05;#NAVN?
41869;Increased Intellect 10;#NAVN?
41870;Increased Arcane Resist 10;#NAVN?
41871;Increased Fire Resist 10;#NAVN?
41872;Increase Spell Dam 12;Increases spell power by $s1.
41873;Increased Armor 50;#NAVN?
41874;Expertise Rating;Increases expertise rating by $s1.
41875;Increase Spell Dam 15;Increases spell power by $s1.
41876;Resilience;Increases resilience by $s1.
41877;Increased Critical 15;Increases your critical strike rating by $s1.
41878;Increased Hit Rating 15;Increases your hit rating by $s1.
41879;Increase Spell Dam 23 - Devout;Increases spell power by $s1.
41880;Increased All Resist 08;#NAVN?
41881;Increased Armor 200;#NAVN?
41882;Increased Armor 200;#NAVN?
41883;Increased All Resist 08;#NAVN?
41884;Increase Spell Dam 23;Increases spell power by $s1.
41885;Increased Block 10;Increases your block rating by $s1.
41886;Increased Stamina 20;#NAVN?
41887;Increased Stamina 20;#NAVN?
41888;Attack Power 40;Increases attack power by $s1.
41889;Increased Stamina 20;#NAVN?
41890;Increase Healing 33;Increases spell power by $s1.
41891;Increase Spell Dam 15;Increases spell power by $s1.
41892;Attack Power 26;Increases attack power by $s1.
41893;Increased All Resist 08;#NAVN?
41894;Increase Spell Dam 6;Increases spell power by $s1.
41895;Attack Power 40;Increases attack power by $s1.
41896;Increased Stamina 20;#NAVN?
41897;Increased Agility 20;#NAVN?
41898;Increased Stamina 20;#NAVN?
41899;Increased Stamina 20;#NAVN?
41900;Increase Spell Dam 23;Increases spell power by $s1.
41901;Increased Stamina 20;#NAVN?
41902;Increase Spell Dam 23;Increases spell power by $s1.
41903;Increased Stamina 20;#NAVN?
41904;Attack Power 40;Increases attack power by $s1.
41905;Increase Spell Dam 23;Increases spell power by $s1.
41906;Increased Stamina 20;#NAVN?
41907;Attack Power 40;Increases attack power by $s1.
41908;Increased Stamina 20;#NAVN?
41909;Hell Hath a Fury: Hex of Air Knockback;
41911;Cosmetic - Legion Ring Degrader;Green lightning beam
41912;Shadowform;"Assumes a Shadowform; increasing Shadow damage dealt by $s2% and reducing melee damage taken by $s1%. Shadowform lasts until cancelled."
41913;Parasitic Shadowfiend Passive;
41914;Parasitic Shadowfiend;
41915;Summon Parasitic Shadowfiends;
41916;Cosmetic - Legion Ring Shield Lightning;Green lightning beam
41917;Parasitic Shadowfiend;"A parasitic shadowfiend burrows its way through the target; dealing $s1 Shadow damage every $t1 sec for $d. When the shadowfiend is finished; it leaves the target and seeks new prey."
41918;Cosmetic - Legion Ring Shield Explode;
41920;Filling;Fills your Brewfest Stein at a Brewfest Festive Keg.
41921;Use Filled Brewfest Stein;A sample of Barleybrew Clear.
41922;Snare Self;"Slows Supremus; reducing his movement speed by $s1%."
41924;Berserk;Increases the caster's attack speed by $s2% and all damage it deals by $s1% for $d.
41926;Hateful Strike;Deals $s1 damage to a threatening target with the highest health within melee range.
41931;Mug Transformation;
41932;Carnivorous Bite;Inflicts Physical damage to an enemy every $t1 sec. for $d.
41933;Nuke Target;
41936;Dark Glare;
41937;Dark Glare;
41938;Dark Mending;Heals self with dark magic.
41939;Rampaging Charge;Charges a distant enemy.
41940;Lacerating Bite;Reduces an enemy's movement speed by $s1% and deals $s2 physical damage every $t2 for $d.
41942;Revert to Mug;
41943;Use Filled Brewfest Stein;A sample of Thunder 45.
41944;Use Filled Brewfest Stein;A sample of Gordok Grog.
41945;Use Filled Brewfest Stein;A sample of Small Step Brew.
41946;Use Filled Brewfest Stein;A sample of Jungle River Water.
41947;Lightheaded;Drink me.  I'm delicious!
41948;Summon Skeleton;
41949;Summon Skeleton;
41950;Summon Skeleton;
41952;"Simon Game; Group Reward pre-spell ; Apexis Summoning 1";
41953;Growth;
41954;Summon Vortex;
41955;No Man's Land;
41956;No Man's Land ->Eversong;
41957;Shadow Bolt;"Hurls a bolt of dark magic at an enemy; inflicting Shadow damage."
41958;Immolate;Inflicts $s2 Fire damage to an enemy and scorches it for an additional $s1 damage every $t1 sec. for $d.
41959;Magnetic Pull;Pull somebody towards you.
41960;Incinerate;"Ignites a target that is already afflicted by your Immolate; dealing $s1 Fire damage and consuming the Immolate spell."
